"filename", "language", "PHP", "XML", "JavaScript", "HTML", "CSS", "SQL", "Ini", "comment", "blank", "total"
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\views\registrar_admin_view.php", "PHP", 140, 0, 0, 0, 0, 0, 0, 0, 7, 147
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\views\registro_view.php", "PHP", 551, 0, 0, 0, 0, 0, 0, 1, 93, 645
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\views\resenas_view.php", "PHP", 255, 0, 0, 0, 0, 0, 0, 1, 58, 314
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\views\restaurante_perfil_view.php", "PHP", 132, 0, 0, 0, 0, 0, 0, 180, 25, 337
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\views\restaurante_principal_view.php", "PHP", 523, 0, 0, 0, 0, 0, 0, 4, 90, 617
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\views\restaurante_turista_view.php", "PHP", 431, 0, 0, 0, 0, 0, 0, 4, 87, 522
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\views\restaurantes_vencidos_view.php", "PHP", 171, 0, 0, 0, 0, 0, 0, 0, 18, 189
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\views\solicitudes_restaurante_view.php", "PHP", 159, 0, 0, 0, 0, 0, 0, 0, 22, 181
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\views\turista_perfil_view.php", "PHP", 397, 0, 0, 0, 0, 0, 0, 0, 41, 438
"c:\Users\Lukie\Desktop\Proyecto\Diseño web\PHPProducto - copia\views\turista_principal_view.php", "PHP", 223, 0, 0, 0, 0, 0, 0, 0, 33, 256
"Total", "-", 9231, 12209, 1053, 23, 1850, 432, 8, 2714, 3962, 31482
